"","K1_L_10","B1_S_8","U1_L_5","M1_L_4","K1_L_12","B1_S_1","U1_L_7","B1_S_6","U2_L_7","K1_L_1","B1_L_1","K1_S_16","K1_S_18","M1_S_6","K1_S_3","U1_L_3","S1_L_1","B1_S_7","K1_L_9","K1_L_19","U2_S_7","U2_L_2","K1_S_6","U2_L_5","S1_S_5","K1_S_5","B1_S_5","U2_S_2","U2_S_9","B1_L_3","B1_L_9","K1_S_4","K1_S_1","B1_L_7","M1_S_8","M1_L_1","B1_S_4","U1_L_1","K1_L_8","B1_L_4","K1_L_16","K1_L_11","U2_L_10","K1_L_3","U2_S_10","M1_S_3","K1_S_7","S1_L_9","S1_L_4","K1_S_11","K1_L_2","K1_S_2","S1_S_6","M1_S_1","K1_S_10","M1_L_8","K1_S_17","M1_L_6","M1_L_9","K1_L_20","K1_L_17","U1_L_2","M1_S_9","K1_S_14","S1_S_7","M1_S_7","S1_L_5","K1_S_15","B1_L_8","M1_S_2","S1_S_1","B1_L_5","B1_S_2","S1_L_8","K1_S_19","S1_S_8","U2_L_3","U2_L_1","M1_S_10","K1_L_4","K1_L_7","K1_S_20","S1_L_6","U2_S_4","B1_S_9","U2_L_6","K1_S_8","S1_S_10","K1_S_12","U2_L_4","U2_S_8","U2_S_5","S1_S_9","K1_S_13","B1_S_3","K1_S_9","S1_L_2","B1_L_6","K1_L_6","S1_L_3","M1_L_10","K1_L_18","K1_L_15","S1_L_10","U2_S_1","K1_L_5","B1_L_2","M1_L_7","U2_L_9"
"K1_L_10",0,0.831869763416472,0.565116022235039,0.684401407173684,0.334416865226516,0.587298938487925,0.795858361951141,0.364944511528952,0.577201198020949,0.272328170257714,0.710928162107215,0.921919406878561,0.954352968326314,0.847744138478963,0.882146375568055,0.64111590622316,0.768821499909206,0.948230799692516,0.373656542561944,0.81805468518091,0.825672515930466,0.875513321410204,0.906390210740993,0.606714158772234,0.552204796956578,0.843531964613587,0.874129773302958,0.515956687534411,0.85979364758244,0.377959677362644,0.451973150402006,0.828148818026424,0.475431311632044,0.826433040212845,0.909360765095745,0.768688293370945,0.383389480050919,0.766110994810546,0.540187436853291,0.357646247953821,0.400037425149701,0.617756808921295,0.546485128265062,0.432164626806745,0.762296584918634,0.826924250747726,0.282326177772263,0.935506783152212,0.728618091341108,0.838801063572637,0.398244872878101,0.882429331424735,0.746301528808861,0.901407714190094,0.898279903595365,0.934426459843759,0.840556576968076,0.379254341601014,0.535245944124812,0.440448094248986,0.911887750710166,0.889006862618154,0.950490919953557,0.782474022582795,0.880322295188859,0.943611884519354,0.90519637145404,0.450345467670414,0.920568645902808,0.917912661949417,0.796136768391448,0.890765994979307,0.923957268554707,0.923979514089033,0.77773392298101,0.919377162629758,0.952222400735722,0.935985253456221,0.92122046217089,0.441354854670995,0.840979381443299,0.822566766153727,0.927613816936392,0.908691928923143,0.923976356612491,0.935180281732762,0.413740163182542,0.917268249898799,0.830206978640862,0.947692474687476,0.935657855220981,0.932427010678353,0.911305665163472,0.918055176181371,0.938121797306572,0.870652267818575,0.932996490145408,0.920450135816841,0.919994566693833,0.937778092172744,0.8918709951773,0.943827725755472,0.837065666325641,0.933911361359632,0.907228751644961,0.81399688250219,0.950897669614688,0.872105916425321,0.931682048774525
"B1_S_8",0.831869763416472,0,0.839383938393839,0.835269752333156,0.842326615459938,0.792284144938234,0.927677834153513,0.768259114264742,0.950062883775986,0.806855730827802,0.884450441354778,0.45653649621424,0.0743054375253311,0.728768784734625,0.572675870290124,0.944922467923727,0.684048499441053,0.158485248527819,0.839348989310949,0.425022351159523,0.568300019898323,0.559479105251287,0.626303514909212,0.946958477318853,0.903598816361431,0.611929332122513,0.575557903396214,0.930382100327411,0.611308253561775,0.806463802178784,0.639169024456416,0.0669575521216699,0.543120847772727,0.50157653592236,0.40913285931549,0.907094545419258,0.758437347662937,0.87554467380547,0.694249152799555,0.774256844576747,0.808363858363858,0.876068613815485,0.916079567160334,0.799184221806821,0.917405817835002,0.653252019691997,0.827276276584815,0.483994985374008,0.894269046481666,0.728935426028823,0.850612554723909,0.513782770664465,0.863835671100924,0.373778979315973,0.603088720668648,0.475595202127017,0.079483635559487,0.747665756051532,0.572692063125036,0.625513144781484,0.101375500310051,0.963690088646266,0.944870075893075,0.672416894363121,0.708183380839444,0.33156719231922,0.652259083194718,0.735615818830505,0.684000810718737,0.672451350877118,0.602203356142991,0.777973786971495,0.439054237300593,0.431882446327911,0.670013979197927,0.681365710841299,0.289047774663881,0.513207912735164,0.680408884855593,0.653859834966598,0.593244120032441,0.553117107801221,0.568736660874809,0.546156033298056,0.636196038832348,0.533669517952102,0.8094643923807,0.62130314999834,0.837663129649957,0.354667721244541,0.367665853171755,0.549347743286993,0.655939587076652,0.655170367607478,0.433002212770954,0.639472689869432,0.549181791133591,0.692899936707215,0.531660364925713,0.480305528704915,0.754759659863042,0.338701770624432,0.444509341633842,0.461571570260307,0.679011284255777,0.857044372916974,0.303339886056051,0.605113239343993,0.541503505336954
"U1_L_5",0.565116022235039,0.839383938393839,0,0.44303261993545,0.767795927997446,0.660754641645039,0.727867314008829,0.688155002300496,0.676934874770304,0.699727878389791,0.741375922755214,0.892154818131632,0.934733464332714,0.630039653876203,0.852947747647108,0.674430683537956,0.751607843137255,0.924148186461499,0.594660724099769,0.800005918735758,0.803588078533027,0.847804441915754,0.872289691943128,0.711882467333538,0.607063457848333,0.817888905088205,0.845810415529524,0.664529877510005,0.833015219782169,0.726377669008479,0.70530307984045,0.859825986866567,0.768342121444624,0.806028293443056,0.886490594342788,0.785215101661024,0.731251606109798,0.683928191563156,0.604787700874618,0.583841714756801,0.705424983902125,0.651346953534623,0.623869108115763,0.673715214467811,0.777652456509272,0.869226001185792,0.731997540598213,0.903155232374328,0.775730939772716,0.810357246346815,0.770146158404108,0.855030185692701,0.72987803221688,0.893246145585641,0.866022697738889,0.902507138205681,0.831619136668225,0.731074005046087,0.753331314354936,0.75535539704853,0.893151782138566,0.906649751559361,0.931624414006695,0.763366506253017,0.84720362426332,0.918129053951979,0.870365592703322,0.683497352756424,0.882267590862136,0.880715180078237,0.778032279272974,0.854994068014569,0.89456354504038,0.894933241430125,0.759498288561693,0.881537977669445,0.924897530109217,0.902487171944962,0.883561164232753,0.719662746190637,0.816619559072923,0.801004407092344,0.89393052966707,0.877662877662878,0.887189621744631,0.901004400101644,0.695282199710564,0.88216513653484,0.786241604529391,0.91860776146779,0.907300616555598,0.897977791083773,0.875427820559834,0.881361242940444,0.907303991542684,0.840703177822853,0.898486343072894,0.881793716260331,0.887667138167552,0.905408725783588,0.856027940312342,0.915638312123242,0.817832060373579,0.90269269917646,0.870963189462543,0.785484223427806,0.923368338807758,0.843064901237248,0.89780637850089
"M1_L_4",0.684401407173684,0.835269752333156,0.44303261993545,0,0.681245350719818,0.476747873323131,0.519146386252489,0.598416093415804,0.828648926717486,0.56196489102706,0.507594072378984,0.871991009280742,0.937363405308443,0.433453844299831,0.805752534959242,0.79103009749894,0.631553618693688,0.921510671403316,0.633733917362385,0.737917272344122,0.85366744816247,0.84037074095529,0.832050129939523,0.853519392571311,0.726850087645759,0.744738773287882,0.798709648811635,0.761857707509881,0.836447909701839,0.652827293228158,0.615048485574045,0.862724236436692,0.731043585068319,0.740017737581257,0.897685895298433,0.565303757656017,0.664997707130357,0.489779349414545,0.525881375978258,0.49063614744352,0.536270371509239,0.578151434588958,0.71332264195771,0.494840395253456,0.643223048183954,0.840739580068944,0.61695362999848,0.890380822333485,0.54945521437668,0.713501050065354,0.661948908715743,0.812821254977893,0.73220192224435,0.882474438414861,0.823332012770618,0.890589664517335,0.827723471218613,0.672733503407836,0.70525165952441,0.709309389276769,0.877790524146473,0.834781363375979,0.936949466852109,0.643574032010987,0.801780036378279,0.908843528493774,0.840919435593992,0.567222016537085,0.844898069320957,0.833071986717443,0.732624297254363,0.795368445879214,0.887288469106651,0.87188470488499,0.627290038741874,0.844051231103832,0.921043749009775,0.88509437536768,0.8373089652808,0.650964274423016,0.737081485150744,0.725413993017371,0.864735324058364,0.861420160496155,0.856996279035269,0.882165868164546,0.528630681068722,0.849499050959852,0.636534296028881,0.911750055558536,0.899252884803442,0.877654496467743,0.841001508912816,0.844773980577555,0.896056129341526,0.778700756068444,0.878346995259859,0.843127572016461,0.861682204523471,0.891201629712065,0.807030160710354,0.90777340570891,0.760901375475563,0.886318560291013,0.829741753617186,0.641189565614476,0.915979893829267,0.786098507881566,0.874395629696297
"K1_L_12",0.334416865226516,0.842326615459938,0.767795927997446,0.681245350719818,0,0.57071416530876,0.839998826755833,0.125723504756836,0.897476124173906,0.154104065453906,0.753146189889724,0.948434419118227,0.974866764821766,0.871070257658346,0.906325943096422,0.863050020549126,0.783694937541091,0.970638265267029,0.609512667336184,0.827841615491843,0.948844611812181,0.941561414375353,0.936963562753036,0.893287918956406,0.913476888580168,0.861620764810779,0.907014681892333,0.833303871309882,0.944581880701084,0.134613981171395,0.402982260690719,0.834116470790743,0.403677871091499,0.84095547660443,0.95985673421312,0.755888981507209,0.138264656507741,0.828438669467592,0.578618187883084,0.367712727646877,0.313386363636364,0.783920408712019,0.791498603785293,0.362905598644179,0.789470605440187,0.937228125222848,0.101063673349346,0.967434993027643,0.69176160065531,0.859341179253652,0.265057697720236,0.904446749594932,0.91034919608081,0.943197642034905,0.926238804802691,0.966484157325212,0.850444565414625,0.136042664559775,0.502524655997165,0.275905228255857,0.924416752553172,0.89617823479006,0.976162068812107,0.789797999522663,0.932591127437129,0.965210906658933,0.947773847152157,0.38839194124164,0.956962891811025,0.948409733277021,0.853098001197571,0.929555241835028,0.95951039381035,0.947929997803912,0.779241676475988,0.955509126896855,0.976241005302463,0.966593858409354,0.952108006197787,0.391006663348092,0.853647416413374,0.835571902102348,0.956246952816049,0.955552775494156,0.958848243910958,0.966567227409931,0.339788628446596,0.950529610014444,0.856431096389902,0.973514260243489,0.967909397764054,0.96448956000289,0.951466362407032,0.952246567523861,0.966735015893101,0.894786827707236,0.964805200668141,0.957203930434004,0.948766236051955,0.967571539372168,0.938951873174999,0.968560694218173,0.846098690720319,0.961577881063044,0.950013690378402,0.836779643824897,0.972887094838314,0.895322153574581,0.960592100564245
"B1_S_1",0.587298938487925,0.792284144938234,0.660754641645039,0.476747873323131,0.57071416530876,0,0.669857623818602,0.550701904959208,0.834546657842488,0.449676336609926,0.509273570324575,0.880454827678878,0.940972128477191,0.733070152570357,0.814929574267652,0.778701280328217,0.642686414567761,0.926448972207775,0.505546547242169,0.744628142734157,0.857505567001727,0.846602823234398,0.843716763222763,0.850094177811918,0.73712368229447,0.753543182344411,0.803852769961609,0.742062768373759,0.848602792085208,0.576664560234389,0.530636240018812,0.823839537939772,0.6659463661096,0.748013575563985,0.907078896172122,0.558484564606436,0.583207247237278,0.591094339622641,0.408573542199323,0.382855099669259,0.383613767560295,0.585001531559127,0.698815410447186,0.348576097811942,0.619184225943958,0.86427017352068,0.487512631730908,0.897873414281416,0.536881935291867,0.723684210526316,0.501739693633173,0.821962645500481,0.744170071224556,0.897674479217572,0.834450506625097,0.897918399739919,0.803432245645196,0.582830694275274,0.633291303191717,0.637444582222147,0.887151234203074,0.814436646482049,0.943434396510956,0.650326752800251,0.821306434462741,0.91956289978678,0.849370638492141,0.456483849216951,0.858366344919935,0.855571588031908,0.733123291479405,0.81523267901914,0.894136778712986,0.885731453009578,0.64369624786348,0.856700759100182,0.92927099241989,0.896243766860132,0.860427734641057,0.554284399640265,0.754256415004803,0.732994278448824,0.881885564395877,0.862276543369129,0.868656488160477,0.893667722222811,0.357303507385569,0.862154303037802,0.646725690446076,0.920775225274468,0.904894814909329,0.888619116574303,0.849871329594193,0.857731414234781,0.904209851479859,0.789149751888087,0.889457300215513,0.856966497807671,0.872576645031924,0.90094977027914,0.82830096791867,0.916504440929554,0.773703196915039,0.896676138487998,0.839114105821275,0.64556153999601,0.926925835604648,0.796266653829027,0.888066833463979
"U1_L_7",0.795858361951141,0.927677834153513,0.727867314008829,0.519146386252489,0.839998826755833,0.669857623818602,0,0.774727252417183,0.726579678045805,0.775095014531634,0.506750209934759,0.900494771039249,0.954744931392601,0.604418040331353,0.820350918896433,0.572587412587413,0.730327058412982,0.944158989275143,0.736768116960709,0.873317855453803,0.835174758312971,0.833630786391523,0.858358282167081,0.827520711254799,0.639405379896177,0.806859176311193,0.804636997447113,0.617247399984817,0.822628276116648,0.852278704987805,0.817610471231383,0.94563950498783,0.888588065126284,0.833287143181074,0.904265141053462,0.33330677608254,0.85485722485292,0.259114340724179,0.722539242351519,0.649736572134027,0.740402723453571,0.511195642776865,0.689158865794782,0.73202614379085,0.513954217623079,0.894655540997173,0.760132208067259,0.921611071250502,0.508230452674897,0.737395800829136,0.861996359090211,0.84559817066833,0.635689455388181,0.92073745223218,0.845391951690976,0.920009548248493,0.929664031511222,0.854277927823335,0.876222790624837,0.878362766133025,0.931983358364838,0.532537089604199,0.949560156859722,0.775081430122479,0.800721370604148,0.938661221206355,0.85304383625396,0.795415621486031,0.880889692301647,0.87714567826219,0.750602740562151,0.80701125207334,0.904060579455663,0.904583540823175,0.777362055933485,0.879089366184819,0.950862691071311,0.921495860690836,0.884094883296586,0.842812850804512,0.820216155241536,0.831904139928446,0.906160750713994,0.877749934236941,0.892453353679684,0.919373022017576,0.730880327067502,0.880933735441625,0.563014763014763,0.943692433903867,0.925143403441683,0.914312657461752,0.864743438165051,0.878868419136387,0.927352201945143,0.793464006574461,0.914879846924419,0.879657775541017,0.892261719647903,0.925802478081298,0.810598975729236,0.937889545282099,0.882008678485173,0.919870976724758,0.852981056057026,0.568457657166235,0.949081957815582,0.810919715528728,0.913146870549849
"B1_S_6",0.364944511528952,0.768259114264742,0.688155002300496,0.598416093415804,0.125723504756836,0.550701904959208,0.774727252417183,0,0.892609820928931,0.162857616211644,0.701745299495321,0.804615871008536,0.896629940393772,0.651534664091007,0.743989277037782,0.879126760884172,0.61291754308099,0.869918855424291,0.665519551432059,0.699373522540094,0.793930828720606,0.782696859776541,0.758432120307244,0.90797808323304,0.777808367128684,0.693810557526341,0.747320318537684,0.851758025769819,0.775925245778419,0.13185217935964,0.291062352795339,0.770198543245431,0.315115093832271,0.705591016638391,0.844808877652613,0.75029806645586,0.073145207054367,0.649834446910269,0.437413446091918,0.305077939619611,0.350720248650156,0.712016781540306,0.823975878561031,0.364061264111598,0.797726653624229,0.777627924152658,0.178105903642896,0.816697941798469,0.732456420407381,0.662900946072818,0.35904315235423,0.753109766021592,0.689238978528776,0.833154698106467,0.753388337490624,0.818161741972528,0.768243550867186,0.0694162284894837,0.397954628464754,0.195261903962954,0.834291230152053,0.921958943618164,0.922198470930345,0.616201224177506,0.738144105019979,0.851496887114474,0.765232377140316,0.260262501592849,0.761138361420038,0.754328001909764,0.697300055274459,0.72081717093354,0.821819934209148,0.803191747152698,0.603109134033778,0.760883451733416,0.858636246084883,0.808792893817714,0.751320779952805,0.286573304226529,0.684741037888188,0.683028972138093,0.787997401331817,0.797698929921957,0.775045794639521,0.804430158174469,0.3700845807535,0.775459947536537,0.617099577377843,0.84523846882865,0.841887898072909,0.800211193241816,0.76890450120518,0.763648089127326,0.825689031907558,0.716856441987332,0.800108821881319,0.758276323032162,0.78885556031678,0.817257001342063,0.727939280815914,0.843309761806754,0.715742057847321,0.81485312520344,0.761744480986045,0.639502168491148,0.853049219898877,0.724937036518819,0.8
"U2_L_7",0.577201198020949,0.950062883775986,0.676934874770304,0.828648926717486,0.897476124173906,0.834546657842488,0.726579678045805,0.892609820928931,0,0.881312162288298,0.78474699278887,0.957505582664792,0.975947456798521,0.860957308078757,0.915021561102979,0.491581474931343,0.878238463340361,0.972857255707402,0.675129813575579,0.934765640398943,0.841874192277023,0.904964982609767,0.948321136461472,0.224725549364089,0.445148925556912,0.912497370082053,0.90486396380306,0.358493139474617,0.8878307949198,0.911701846853367,0.893709953975273,0.964928303270988,0.9395697877177,0.909030667691574,0.934227903615659,0.762249159621066,0.92129578376353,0.743700853017379,0.79462976946653,0.757945460519111,0.882367267413541,0.689080291970803,0.334094817628789,0.890247449011848,0.6504,0.941093467790488,0.864135240572172,0.975230543824873,0.799110637376547,0.894896078306744,0.919891172914148,0.924381810467016,0.745751547885654,0.945119900043251,0.93657413170671,0.973414750306164,0.957084265473527,0.927265493920053,0.935624768489937,0.936684946804035,0.959986511224588,0.838345721364589,0.971264391626238,0.903891167813854,0.919970942551002,0.973289347011608,0.948230098365044,0.909261604296756,0.970646924775365,0.966529035541214,0.850200839600133,0.935801461492355,0.958645202090955,0.958485571398001,0.904657572158351,0.969174700211615,0.984474422606473,0.977666531366978,0.970813901007973,0.92407044289173,0.916700201207243,0.920103612030508,0.969984172085661,0.945901082732863,0.971290192091137,0.978030571018972,0.890793731362223,0.96194678946022,0.83078182314245,0.982518944898523,0.968988215232769,0.975660003052037,0.956497251509417,0.96528834342,0.975452680972636,0.908803165182987,0.976371871275328,0.97120061336464,0.95924124874717,0.977976930663351,0.937135524527055,0.977163419950867,0.938167173206773,0.972246530816352,0.952988001170618,0.855158321585275,0.98383424856155,0.913997294203351,0.974502487562189
"K1_L_1",0.272328170257714,0.806855730827802,0.699727878389791,0.56196489102706,0.154104065453906,0.449676336609926,0.775095014531634,0.162857616211644,0.881312162288298,0,0.61838465793841,0.882268508970922,0.943519422627892,0.762179207193003,0.825818601303452,0.850681323714646,0.690086936227318,0.925573080967403,0.601283206257828,0.758395595753048,0.879160649984463,0.869493735472533,0.850249369871829,0.8880469593628,0.794075352315214,0.771428571428571,0.830717034135533,0.817608952507707,0.871340663774841,0.196029144516721,0.29999550056243,0.803082076550945,0.340968964399927,0.774423768238528,0.916301394562264,0.691372409949846,0.200574136671706,0.682339103685385,0.48337335531776,0.231257844474761,0.221835385455207,0.670304439439076,0.776437053417356,0.220649353920556,0.754867467961474,0.868353670546525,0.0631273330568229,0.899247926425717,0.656880612346334,0.749759432767789,0.214523191187725,0.829297275886282,0.801118978931725,0.897378093016842,0.841052207091231,0.899846478765723,0.808930773705643,0.194348849846042,0.424152610874603,0.287017961513223,0.88656773852185,0.898342332101923,0.947419813975042,0.685543740547031,0.847159570618743,0.922544003525178,0.861704137540147,0.270401114024304,0.862389422172031,0.86335246260573,0.772178066795119,0.837643532161366,0.900011179072776,0.887594080070837,0.679320725233817,0.861645680819912,0.925002242755898,0.894045691671164,0.863708691741808,0.287547502340695,0.770505941934513,0.75194643711143,0.886893614594127,0.885051202241802,0.871543439890175,0.891680666808989,0.227376137512639,0.873410459891003,0.707553289384362,0.916792802478392,0.914384993583921,0.888725121953539,0.867079727469666,0.860880893021584,0.903426096924155,0.802420458901484,0.888582564882593,0.860482879614269,0.873249993060118,0.899486828600753,0.845945535533509,0.912926391382406,0.783855236331319,0.894613466334165,0.862257989269886,0.706080761592535,0.922480620155039,0.807624085887661,0.889461965559032
"B1_L_1",0.710928162107215,0.884450441354778,0.741375922755214,0.507594072378984,0.753146189889724,0.509273570324575,0.506750209934759,0.701745299495321,0.78474699278887,0.61838465793841,0,0.853402556802322,0.938074451910344,0.651658120207687,0.761965511804252,0.660035598366663,0.582418802627926,0.917320550018923,0.654155857282437,0.7743219185255,0.837187170451915,0.819451559845768,0.792155907429963,0.780463951805344,0.647856537449257,0.67772110178137,0.762633754338465,0.660829580921068,0.817133540832963,0.717554414736695,0.680991631535896,0.904385511105834,0.799992747448008,0.715650813822768,0.898667740112557,0.288746960844794,0.735717106944541,0.390812557710065,0.595073841279575,0.547969648961894,0.586804529788282,0.291939173731665,0.644214459021321,0.542499266892883,0.450746268656716,0.727531050307501,0.677585674590923,0.874971954891657,0.28183148651474,0.609932375316991,0.758694611526214,0.776938379794012,0.628171147292692,0.826903579595492,0.783093265284162,0.875230464175141,0.877706519662691,0.743334796692018,0.777623957898594,0.780820539648685,0.876222089823247,0.704710059171598,0.941417334831546,0.608756573799429,0.757268292682927,0.906843991012328,0.800826460451638,0.637896413813704,0.803591512334108,0.79716245146776,0.676060481261399,0.737698648763491,0.872592814243273,0.859619521660269,0.606746848701557,0.802066461882156,0.916333060017042,0.868360160965795,0.803435876947663,0.722367433555032,0.679847182425979,0.704705720949376,0.846354697890743,0.84539989020259,0.823592029539935,0.863901047622803,0.568394437420986,0.816330777480751,0.451557942764735,0.904668161353238,0.895342537411026,0.857094268261159,0.805505737319566,0.806816993691841,0.883338299774382,0.71903763936625,0.857636338909289,0.800610025129966,0.837876745494759,0.875979357260145,0.754623764884723,0.900194414987628,0.787091284318424,0.871367328519856,0.794082840236686,0.437299440005034,0.911097162113053,0.733724611939146,0.853068210689595
