Sample,Species,Location_detailed,Location,Season,SL,TL
B1_L_1,Limnothrissa_miodon,Bujumbura,North,Wet,78,88
B1_L_10,Limnothrissa_miodon,Bujumbura,North,Wet,68,84
B1_L_2,Limnothrissa_miodon,Bujumbura,North,Wet,91,108
B1_L_3,Limnothrissa_miodon,Bujumbura,North,Wet,71,86
B1_L_4,Limnothrissa_miodon,Bujumbura,North,Wet,71,86
B1_L_5,Limnothrissa_miodon,Bujumbura,North,Wet,85,99
B1_L_6,Limnothrissa_miodon,Bujumbura,North,Wet,68,82
B1_L_7,Limnothrissa_miodon,Bujumbura,North,Wet,68,8
B1_L_8,Limnothrissa_miodon,Bujumbura,North,Wet,86,96
B1_L_9,Limnothrissa_miodon,Bujumbura,North,Wet,84,98
B1_S_1,Stolothrissa_tanganicae,Bujumbura,North,Wet,71,81
B1_S_10,Stolothrissa_tanganicae,Bujumbura,North,Wet,70,81
B1_S_2,Stolothrissa_tanganicae,Bujumbura,North,Wet,71,82
B1_S_3,Stolothrissa_tanganicae,Bujumbura,North,Wet,67,78
B1_S_4,Stolothrissa_tanganicae,Bujumbura,North,Wet,68,77
B1_S_5,Stolothrissa_tanganicae,Bujumbura,North,Wet,68,77
B1_S_6,Stolothrissa_tanganicae,Bujumbura,North,Wet,70,79
B1_S_7,Stolothrissa_tanganicae,Bujumbura,North,Wet,68,8
B1_S_8,Stolothrissa_tanganicae,Bujumbura,North,Wet,68,78
B1_S_9,Stolothrissa_tanganicae,Bujumbura,North,Wet,70,81
K1_L_1,Limnothrissa_miodon,Kalemie,Center,Wet,125,148
K1_L_10,Limnothrissa_miodon,Kalemie,Center,Wet,81,96
K1_L_11,Limnothrissa_miodon,Kalemie,Center,Wet,91,103
K1_L_12,Limnothrissa_miodon,Kalemie,Center,Wet,88,98
K1_L_13,Limnothrissa_miodon,Kalemie,Center,Wet,87,102
K1_L_14,Limnothrissa_miodon,Kalemie,Center,Wet,87,104
K1_L_15,Limnothrissa_miodon,Kalemie,Center,Wet,106,127
K1_L_16,Limnothrissa_miodon,Kalemie,Center,Wet,75,108
K1_L_17,Limnothrissa_miodon,Kalemie,Center,Wet,77,91
K1_L_18,Limnothrissa_miodon,Kalemie,Center,Wet,79,91
K1_L_19,Limnothrissa_miodon,Kalemie,Center,Wet,80,96
K1_L_2,Limnothrissa_miodon,Kalemie,Center,Wet,122,144
K1_L_20,Limnothrissa_miodon,Kalemie,Center,Wet,85,10
K1_L_3,Limnothrissa_miodon,Kalemie,Center,Wet,124,145
K1_L_4,Limnothrissa_miodon,Kalemie,Center,Wet,120,144
K1_L_5,Limnothrissa_miodon,Kalemie,Center,Wet,118,138
K1_L_6,Limnothrissa_miodon,Kalemie,Center,Wet,120,143
K1_L_7,Limnothrissa_miodon,Kalemie,Center,Wet,140,158
K1_L_8,Limnothrissa_miodon,Kalemie,Center,Wet,88,106
K1_L_9,Limnothrissa_miodon,Kalemie,Center,Wet,90,107
K1_S_1,Stolothrissa_tanganicae,Kalemie,Center,Wet,74,85
K1_S_10,Stolothrissa_tanganicae,Kalemie,Center,Wet,86,98
K1_S_11,Stolothrissa_tanganicae,Kalemie,Center,Wet,74,86
K1_S_12,Stolothrissa_tanganicae,Kalemie,Center,Wet,73,85
K1_S_13,Stolothrissa_tanganicae,Kalemie,Center,Wet,78,91
K1_S_14,Stolothrissa_tanganicae,Kalemie,Center,Wet,75,87
K1_S_15,Limnothrissa_miodon,Kalemie,Center,Wet,68,8
K1_S_16,Stolothrissa_tanganicae,Kalemie,Center,Wet,75,89
K1_S_17,Stolothrissa_tanganicae,Kalemie,Center,Wet,73,84
K1_S_18,Stolothrissa_tanganicae,Kalemie,Center,Wet,78,89
K1_S_19,Stolothrissa_tanganicae,Kalemie,Center,Wet,66,76
K1_S_2,Stolothrissa_tanganicae,Kalemie,Center,Wet,76,87
K1_S_20,Stolothrissa_tanganicae,Kalemie,Center,Wet,75,87
K1_S_3,Stolothrissa_tanganicae,Kalemie,Center,Wet,81,88
K1_S_4,Stolothrissa_tanganicae,Kalemie,Center,Wet,87,95
K1_S_5,Stolothrissa_tanganicae,Kalemie,Center,Wet,84,95
K1_S_6,Stolothrissa_tanganicae,Kalemie,Center,Wet,81,94
K1_S_7,Stolothrissa_tanganicae,Kalemie,Center,Wet,82,9
K1_S_8,Stolothrissa_tanganicae,Kalemie,Center,Wet,84,96
K1_S_9,Stolothrissa_tanganicae,Kalemie,Center,Wet,84,95
M1_L_1,Limnothrissa_miodon,Mpulungu,South,Wet,84,9
M1_L_10,Limnothrissa_miodon,Mpulungu,South,Wet,111,12
M1_L_2,Limnothrissa_miodon,Mpulungu,South,Wet,80,94
M1_L_3,Limnothrissa_miodon,Mpulungu,South,Wet,86,96
M1_L_4,Limnothrissa_miodon,Mpulungu,South,Wet,75,87
M1_L_5,Limnothrissa_miodon,Mpulungu,South,Wet,90,99
M1_L_6,Limnothrissa_miodon,Mpulungu,South,Wet,108,122
M1_L_7,Limnothrissa_miodon,Mpulungu,South,Wet,115,128
M1_L_8,Limnothrissa_miodon,Mpulungu,South,Wet,106,119
M1_L_9,Limnothrissa_miodon,Mpulungu,South,Wet,115,134
M1_S_1,Stolothrissa_tanganicae,Mpulungu,South,Wet,98,112
M1_S_10,Stolothrissa_tanganicae,Mpulungu,South,Wet,102,114
M1_S_2,Limnothrissa_miodon,Mpulungu,South,Wet,80,93
M1_S_3,Stolothrissa_tanganicae,Mpulungu,South,Wet,97,111
M1_S_4,Stolothrissa_tanganicae,Mpulungu,South,Wet,101,111
M1_S_5,Stolothrissa_tanganicae,Mpulungu,South,Wet,99,116
M1_S_6,Stolothrissa_tanganicae,Mpulungu,South,Wet,99,11
M1_S_7,Stolothrissa_tanganicae,Mpulungu,South,Wet,86,94
M1_S_8,Stolothrissa_tanganicae,Mpulungu,South,Wet,99,106
M1_S_9,Stolothrissa_tanganicae,Mpulungu,South,Wet,99,11
S1_L_1,Stolothrissa_tanganicae,Sumbu,South,Wet,88,11
S1_L_10,Limnothrissa_miodon,Sumbu,South,Wet,81,9
S1_L_2,Stolothrissa_tanganicae,Sumbu,South,Wet,96,106
S1_L_3,Stolothrissa_tanganicae,Sumbu,South,Wet,87,96
S1_L_4,Limnothrissa_miodon,Sumbu,South,Wet,84,10
