ID,Phylum,Class,Order,Family,Genus,Species,Similarity,Status
denovo1592,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,simplex,98.16,Published
denovo4352,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,simplex,98.77,Published
denovo4,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,simplex,98.83,Published
denovo26242,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,simplex,99.08,Published
denovo13276,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.01,Published
denovo18597,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.01,Published
denovo20914,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.01,Published
denovo23715,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.01,Published
denovo16161,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.02,Published
denovo13435,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.03,Published
denovo17614,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.03,Published
denovo19007,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.03,Published
denovo25252,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.03,Published
denovo12992,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo15200,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo23921,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo23923,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo23935,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo4926,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo7516,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.09,Published
denovo14572,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.31,Published
denovo16159,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.31,Published
denovo19300,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.31,Published
denovo21802,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.31,Published
denovo11407,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.32,Published
denovo17029,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.32,Published
denovo17030,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.32,Published
denovo20950,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.32,Published
denovo18964,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.36,Published
denovo23929,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.36,Published
denovo25493,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.36,Published
denovo23915,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.37,Published
denovo20916,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.38,Published
denovo3302,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.38,Published
denovo10161,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo12514,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo13909,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo14018,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo17072,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo20429,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo22278,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo23765,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo23932,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.4,Published
denovo25246,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.56,Published
denovo26280,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.56,Published
denovo16273,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.6,Published
denovo19301,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.6,Published
denovo22280,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.6,Published
denovo8252,Arthropoda,Copepoda,Calanoida,Diaptomidae,Tropodiaptomus,,95.6,Published
